ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17261620717,3843,5,8,8,8,7.508,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620718,3843,5,8,8,8,7.508,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620719,3843,5,8,8,8,7.508,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620720,3843,5,8,8,8,7.508,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620721,3843,5,8,8,8,7.508,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620722,3843,5,8,8,8,7.508,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620723,3843,5,8,8,8,7.508,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620724,3843,5,8,8,8,7.508,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620725,3843,5,8,8,8,7.508,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620726,3843,5,8,8,8,7.508,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620727,3843,5,8,8,8,6.586,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620728,3843,5,8,8,8,6.586,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620729,3843,5,8,8,8,6.586,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620730,3843,5,8,8,8,6.586,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620731,3843,5,8,8,8,6.586,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620732,3843,5,8,8,8,6.586,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620733,3843,5,8,8,8,6.586,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620734,3843,5,8,8,8,6.586,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620735,3843,5,8,8,8,6.586,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620736,3843,5,8,8,8,6.586,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620737,3843,5,8,8,8,5.524,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620738,3843,5,8,8,8,5.524,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620739,3843,5,8,8,8,5.524,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7730.5,0,1
17261620740,3843,5,8,8,8,5.524,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620741,3843,5,8,8,8,5.524,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620742,3843,5,8,8,8,5.524,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620743,3843,5,8,8,8,5.524,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620744,3843,5,8,8,8,5.524,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620745,3843,5,8,8,8,5.524,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620746,3843,5,8,8,8,5.524,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.26 | 0.30,0,13.29 | 15.15 | 17.62,7.731,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620747,3843,5,8,8,8,9.261,0,0,0.11 | 0.12 | 0.15,0,0.23 | 0.95 | 2.32,0,1.72 | 4.21 | 17.62,8.359,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620748,3843,5,8,8,8,9.261,0,0,0.11 | 0.12 | 0.15,0,0.23 | 0.95 | 2.32,0,1.72 | 4.21 | 17.62,8.359,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620749,3843,5,8,8,8,9.261,0,0,0.11 | 0.12 | 0.15,0,0.23 | 0.95 | 2.32,0,1.72 | 4.21 | 17.62,8.359,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620750,3843,5,8,8,8,9.261,0,0,0.11 | 0.12 | 0.15,0,0.23 | 0.95 | 2.32,0,1.72 | 4.21 | 17.62,8.359,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620751,3843,5,8,8,8,9.261,0,0,0.11 | 0.12 | 0.15,0,0.23 | 0.95 | 2.32,0,1.72 | 4.21 | 17.62,8.359,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620752,3843,8,8,8,8,9.261,0,0,0.11 | 0.12 | 0.15,0,0.23 | 0.95 | 2.32,0,1.72 | 4.21 | 17.62,8.359,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620753,3843,8,8,8,8,9.261,0,0,0.11 | 0.12 | 0.15,0,0.23 | 0.95 | 2.32,0,1.72 | 4.21 | 17.62,8.359,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620754,3843,8,8,8,8,9.261,0,0,0.11 | 0.12 | 0.15,0,0.23 | 0.95 | 2.32,0,1.72 | 4.21 | 17.62,8.359,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8359,0,1
17261620755,3843,8,8,8,8,9.261,0,0,0.11 | 0.12 | 0.15,0,0.23 | 0.95 | 2.32,0,1.72 | 4.21 | 17.62,8.359,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620756,3843,8,8,8,8,9.261,0,0,0.11 | 0.12 | 0.15,0,0.23 | 0.95 | 2.32,0,1.72 | 4.21 | 17.62,8.359,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620757,3843,8,8,8,8,11.555,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620758,3843,8,8,8,8,11.555,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620759,3843,8,8,8,8,11.555,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620760,3843,8,8,8,8,11.555,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620761,3843,8,8,8,8,11.555,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620762,3843,8,8,8,8,11.555,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620763,3843,8,8,8,8,11.555,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620764,3843,8,8,8,8,11.555,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620765,3843,8,8,8,8,11.555,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620766,3843,8,8,8,8,11.555,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620767,3843,8,8,8,8,10.599,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620768,3843,8,8,8,8,10.599,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620769,3843,8,8,8,8,10.599,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620770,3843,8,8,8,8,10.599,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620771,3843,8,8,8,8,10.599,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620772,3843,8,8,8,8,10.599,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8649.25,0,1
17261620773,3843,8,8,8,8,10.599,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535.25,0,1
17261620774,3843,8,8,8,8,10.599,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535.25,0,1
17261620775,3843,8,8,8,8,10.599,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535.25,0,1
17261620776,3843,8,8,8,8,10.599,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.04 | 2.32,0,1.72 | 3.85 | 17.62,8.649,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535.25,0,1
17261620777,3843,8,8,8,8,14.339,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.39 | 2.32,0,1.72 | 2.87 | 17.62,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535.25,0,1
17261620778,3843,8,8,8,8,14.339,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.39 | 2.32,0,1.72 | 2.87 | 17.62,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535.25,0,1
17261620779,3843,8,8,8,8,14.339,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.39 | 2.32,0,1.72 | 2.87 | 17.62,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535.25,0,1
17261620780,3843,8,8,8,8,14.339,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.39 | 2.32,0,1.72 | 2.87 | 17.62,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535.25,0,1
17261620781,3843,8,8,8,8,14.339,0,0,0.11 | 0.12 | 0.15,0,0.23 | 1.39 | 2.32,0,1.72 | 2.87 | 17.62,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535.25,0,1
