ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17261626649,3843,5,8,8,8,7.527,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626650,3843,5,8,8,8,7.527,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626651,3843,5,8,8,8,7.527,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626652,3843,5,8,8,8,7.527,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626653,3843,5,8,8,8,7.527,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626654,3843,5,8,8,8,7.527,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626655,3843,5,8,8,8,7.527,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626656,3843,5,8,8,8,7.527,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626657,3843,5,8,8,8,7.527,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626658,3843,5,8,8,8,7.527,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626659,3843,5,8,8,8,6.606,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626660,3843,5,8,8,8,6.606,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626661,3843,5,8,8,8,6.606,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626662,3843,5,8,8,8,6.606,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626663,3843,5,8,8,8,6.606,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261626664,3843,5,8,8,8,6.606,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.31,0,12.94 | 14.93 | 17.62,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
