ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17261604316,3843,5,8,8,8,7.526,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604317,3843,5,8,8,8,7.526,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604318,3843,5,8,8,8,7.526,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604319,3843,5,8,8,8,7.526,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604320,3843,5,8,8,8,7.526,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604321,3843,5,8,8,8,7.526,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604322,3843,5,8,8,8,7.526,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604323,3843,5,8,8,8,7.526,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604324,3843,5,8,8,8,7.526,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604325,3843,5,8,8,8,7.526,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604326,3843,5,8,8,8,6.578,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604327,3843,5,8,8,8,6.578,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604328,3843,5,8,8,8,6.578,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604329,3843,5,8,8,8,6.578,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604330,3843,5,8,8,8,6.578,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604331,3843,5,8,8,8,6.578,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604332,3843,5,8,8,8,6.578,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604333,3843,5,8,8,8,6.578,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604334,3843,5,8,8,8,6.578,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604335,3843,5,8,8,8,6.578,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604337,3843,5,8,8,8,5.515,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604337,3843,5,8,8,8,5.515,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604338,3843,5,8,8,8,5.515,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604339,3843,5,8,8,8,5.515,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8266,0,1
17261604340,3843,5,8,8,8,5.515,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604341,3843,5,8,8,8,5.515,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604342,3843,5,8,8,8,5.515,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604343,3843,5,8,8,8,5.515,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604344,3843,5,8,8,8,5.515,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604345,3843,5,8,8,8,5.515,0,0,0.11 | 0.12 | 0.14,0,0.20 | 0.25 | 0.30,0,13.16 | 15.78 | 19.70,8.266,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604346,3843,5,8,8,8,9.253,0,0,0.11 | 0.13 | 0.15,0,0.20 | 0.94 | 2.31,0,1.73 | 4.25 | 19.70,8.724,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604347,3843,5,8,8,8,9.253,0,0,0.11 | 0.13 | 0.15,0,0.20 | 0.94 | 2.31,0,1.73 | 4.25 | 19.70,8.724,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604348,3843,5,8,8,8,9.253,0,0,0.11 | 0.13 | 0.15,0,0.20 | 0.94 | 2.31,0,1.73 | 4.25 | 19.70,8.724,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604349,3843,5,8,8,8,9.253,0,0,0.11 | 0.13 | 0.15,0,0.20 | 0.94 | 2.31,0,1.73 | 4.25 | 19.70,8.724,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604350,3843,5,8,8,8,9.253,0,0,0.11 | 0.13 | 0.15,0,0.20 | 0.94 | 2.31,0,1.73 | 4.25 | 19.70,8.724,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604351,3843,8,8,8,8,9.253,0,0,0.11 | 0.13 | 0.15,0,0.20 | 0.94 | 2.31,0,1.73 | 4.25 | 19.70,8.724,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604352,3843,8,8,8,8,9.253,0,0,0.11 | 0.13 | 0.15,0,0.20 | 0.94 | 2.31,0,1.73 | 4.25 | 19.70,8.724,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604353,3843,8,8,8,8,9.253,0,0,0.11 | 0.13 | 0.15,0,0.20 | 0.94 | 2.31,0,1.73 | 4.25 | 19.70,8.724,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8724.333333333334,0,1
17261604354,3843,8,8,8,8,9.253,0,0,0.11 | 0.13 | 0.15,0,0.20 | 0.94 | 2.31,0,1.73 | 4.25 | 19.70,8.724,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8917.75,0,1
17261604355,3843,8,8,8,8,9.253,0,0,0.11 | 0.13 | 0.15,0,0.20 | 0.94 | 2.31,0,1.73 | 4.25 | 19.70,8.724,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8917.75,0,1
17261604356,3843,8,8,8,8,11.546,0,0,0.11 | 0.13 | 0.15,0,0.20 | 1.03 | 2.31,0,1.73 | 3.87 | 19.70,8.918,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8917.75,0,1
17261604357,3843,8,8,8,8,11.546,0,0,0.11 | 0.13 | 0.15,0,0.20 | 1.03 | 2.31,0,1.73 | 3.87 | 19.70,8.918,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8917.75,0,1
17261604358,3843,8,8,8,8,11.546,0,0,0.11 | 0.13 | 0.15,0,0.20 | 1.03 | 2.31,0,1.73 | 3.87 | 19.70,8.918,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8917.75,0,1
17261604359,3843,8,8,8,8,11.546,0,0,0.11 | 0.13 | 0.15,0,0.20 | 1.03 | 2.31,0,1.73 | 3.87 | 19.70,8.918,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8917.75,0,1
