ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17261630667,3843,8,8,8,8,4.685,0,0,0.12 | 0.12 | 0.12,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630668,3843,8,8,8,8,4.685,0,0,0.12 | 0.12 | 0.12,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630669,3843,8,8,8,8,4.685,0,0,0.12 | 0.12 | 0.12,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630670,3843,8,8,8,8,4.685,0,0,0.12 | 0.12 | 0.12,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630671,3843,8,8,8,8,4.685,0,0,0.12 | 0.12 | 0.12,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630672,3843,8,8,8,8,4.685,0,0,0.12 | 0.12 | 0.12,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630673,3843,8,8,8,8,6.885,0,0,0.11 | 0.11 | 0.12,0,0.26 | 0.44 | 0.63,0,6.39 | 9.02 | 15.33,7.979,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630674,3843,8,8,8,8,6.885,0,0,0.11 | 0.11 | 0.12,0,0.26 | 0.44 | 0.63,0,6.39 | 9.02 | 15.33,7.979,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630675,3843,8,8,8,8,6.885,0,0,0.11 | 0.11 | 0.12,0,0.26 | 0.44 | 0.63,0,6.39 | 9.02 | 15.33,7.979,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630676,3843,8,8,8,8,6.885,0,0,0.11 | 0.11 | 0.12,0,0.26 | 0.44 | 0.63,0,6.39 | 9.02 | 15.33,7.979,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630677,3843,8,8,8,8,6.885,0,0,0.11 | 0.11 | 0.12,0,0.26 | 0.44 | 0.63,0,6.39 | 9.02 | 15.33,7.979,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630678,3843,8,8,8,8,6.885,0,0,0.11 | 0.11 | 0.12,0,0.26 | 0.44 | 0.63,0,6.39 | 9.02 | 15.33,7.979,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630679,3843,8,8,8,8,6.885,0,0,0.11 | 0.11 | 0.12,0,0.26 | 0.44 | 0.63,0,6.39 | 9.02 | 15.33,7.979,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630680,3843,8,8,8,8,6.885,0,0,0.11 | 0.11 | 0.12,0,0.26 | 0.44 | 0.63,0,6.39 | 9.02 | 15.33,7.979,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
17261630681,3843,8,8,8,8,6.885,0,0,0.11 | 0.11 | 0.12,0,0.26 | 0.44 | 0.63,0,6.39 | 9.02 | 15.33,7.979,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7979.5,0,1
